,Date,Timestamp,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio,Cashio
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,Total,solana,Total,Total,Total,Total,solana,solana,solana,solana,Total,Total,Total,Total,solana,solana,solana,solana
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator,saber,usd-coin,tether,sunny-aggregator
,24/12/2021,1640304000,27371255.03633882,,4019.268568596929,15402526.18115573,11954324.744406521,10384.842207974063,,,,,45488.965997,15402526.18115573,11954324.744406521,2281876.376447,,,,
,25/12/2021,1640390400,28257276.562202856,,3683.3780436750812,16125971.416255236,12117836.762539046,9785.005364897439,,,,,45488.965997,16125971.416255236,12117836.762539046,2281876.376447,,,,
,26/12/2021,1640476800,28265939.33249108,,3497.055238951369,16249287.056582784,12003584.871415181,9570.34925416507,,,,,45488.965997,16249287.056582784,12003584.871415181,2281876.376447,,,,
,27/12/2021,1640563200,28264591.108826455,,4717.387729752888,16133643.194541505,12116919.17026976,9311.356285438336,,,,,45488.965997,16143910.721760543,12130250.315366346,2281876.376447,,,,
,28/12/2021,1640649600,29135753.056635864,,4381.588182763034,16868988.245409958,12252804.81876537,9578.404277773927,,,,,45488.965997,16868988.245409958,12252804.81876537,2281876.376447,,,,
,29/12/2021,1640736000,29133058.844804943,,34115.60752297696,16056975.986805968,12934661.662933227,107305.58754276841,,,,,396186.360736,16060669.940892372,12934661.662933227,26693463.437772,,,,
,30/12/2021,1640822400,29390236.317180343,,36371.096474647005,16122084.813096983,13131325.697457246,100454.71015146423,,,,,396186.360736,16139353.921793303,13001312.571739849,26693463.437772,,,,
,31/12/2021,1640908800,29419414.287628334,,42771.48713233709,15518489.210436989,13759996.920174902,98156.66988410644,,,,,396186.360736,15534660.792321796,13759996.920174902,26693463.437772,,,,
,01/01/2022,1640995200,29710155.56047728,,48911.97953738435,15367938.46868992,14173051.860266713,120253.2519832597,,,,,396186.360736,15367938.46868992,14032724.614125459,26693463.437772,,,,
,02/01/2022,1641081600,30081808.960681602,,54683.226254225665,14694384.578715324,15167120.761008495,165620.3947035595,,,,,396186.360736,14694384.578715324,15167120.761008495,26693463.437772,,,,
,03/01/2022,1641168000,30904497.013646442,,53153.94690178471,15357752.09248621,15257867.938939977,235723.0353184707,,,,,396186.360736,15357752.09248621,15257867.938939977,26693463.437772,,,,
,04/01/2022,1641254400,33255549.292819552,,44872.06721695936,16638050.54628537,16128300.633663787,444326.04565343383,,,,,396186.360736,16645491.080798486,16140470.548457325,26693463.437772,,,,
