,Date,Timestamp,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX,GMX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,arbitrum-staking,arbitrum,Total,staking,avalanche,avalanche-staking,arbitrum-staking,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,staking,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche-staking,arbitrum-staking,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,arbitrum,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,staking,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche,avalanche-staking
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,gmx,WBTC,WETH,USDC,UNI,USDT,LINK,MIM,FRAX,DAI,WBTC,WETH,USDC,UNI,USDT,LINK,MIM,FRAX,DAI,WAVAX,BTC.B,avalanche-2,USDC.E,WBTC.E,WETH.E,gmx,MIM,WETH,WBTC,WAVAX,USDC,BTC.B,avalanche-2,WETH.E,USDC.E,WBTC.E,gmx,gmx,WBTC,WETH,USDC,UNI,USDT,LINK,MIM,FRAX,DAI,WBTC,WETH,USDC,UNI,USDT,LINK,MIM,FRAX,DAI,WAVAX,BTC.B,avalanche-2,USDC.E,WBTC.E,WETH.E,gmx,MIM,WETH,WBTC,WAVAX,USDC,BTC.B,avalanche-2,WETH.E,USDC.E,WBTC.E,gmx
,01/09/2021,1630454400,0,9834.585241954806,9834.585241954806,0,,,0,3295.9206317346193,3449.8955637664117,3088.7690464537754,,,,,,,3295.9206317346193,3449.8955637664117,3088.7690464537754,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,0.06954978,1.0103129909,3083.125952,,,,,,,0.06954978,1.0103129909,3083.125952,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,02/09/2021,1630540800,0,1265840.4993483925,1265840.4993483925,0,,,0,125445.33527823,972483.5865129768,167911.5775571856,,,,,,,125445.33527823,972483.5865129768,167911.5775571856,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,2.56676151,257.00617314262007,167841.928744,,,,,,,2.56676151,257.00617314262007,167841.928744,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,03/09/2021,1630627200,0,2107099.0756823067,2107099.0756823067,0,,,0,246551.55915852002,1408027.576140702,452519.9403830847,,,,,,,246551.55915852002,1408027.576140702,452519.9403830847,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,4.99527036,371.583939381121,453265.108221,,,,,,,4.99527036,371.583939381121,453265.108221,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,04/09/2021,1630713600,0,2224541.6498146085,2224541.6498146085,0,,,0,205553.71942175,1886662.0602618915,132325.87013096735,,,,,,,205553.71942175,1886662.0602618915,132325.87013096735,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,4.09265743,477.5199091516724,132207.379879,,,,,,,4.09265743,477.5199091516724,132207.379879,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,05/09/2021,1630800000,0,2243536.2373826285,2243536.2373826285,0,,,0,204155.92478208002,1913948.354913349,125431.95768719965,,,,,,,204155.92478208002,1913948.354913349,125431.95768719965,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,4.09244928,493.2144728887967,125403.738044,,,,,,,4.09244928,493.2144728887967,125403.738044,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,06/09/2021,1630886400,0,2329747.4105755496,2329747.4105755496,0,,,0,198432.1597514,2057725.9173401017,73589.33348404786,,,,,,,198432.1597514,2057725.9173401017,73589.33348404786,,,,,,,,,,,,,0,,,,,,,,,,,,5431750.453671954,3.84148988,522.7816085780381,73703.278753,,,,,,,3.84148988,522.7816085780381,73703.278753,,,,,,,,,,,,,5431750.453671954,,,,,,,,,,,
,07/09/2021,1630972800,0,2789036.966270281,2789036.966270281,0,,,0,103063.376339,2615971.3785910453,70002.21134023549,,,,,,,103063.376339,2615971.3785910453,70002.21134023549,,,,,,,,,,,,,0,,,,,,,,,,,,5630206.677608005,1.96217756,665.1541309653601,69913.828582,,,,,,,1.96217756,665.1541309653601,69913.828582,,,,,,,,,,,,,5630206.677608005,,,,,,,,,,,
,08/09/2021,1631059200,0,2471335.626043252,2471335.626043252,0,,,0,20565.08367118,2409067.0986910723,41703.443681,,,,,,,20565.08367118,2409067.0986910723,41703.443681,,,,,,,,,,,,,0,,,,,,,,,,,,5622709.001127561,0.43787173,699.5160299035394,41703.443681,,,,,,,0.43787173,699.5160299035394,41703.443681,,,,,,,,,,,,,5622709.001127561,,,,,,,,,,,
,09/09/2021,1631145600,0,3096605.926687403,3096605.926687403,0,,,0,15285.901136125007,2734178.054482278,347141.971069,,,,,,,15285.901136125007,2734178.054482278,347141.971069,,,,,,,,,,,,,0,,,,,,,,,,,,5653506.6838599,0.33128648,779.712667757789,347141.971069,,,,,,,0.33128648,779.712667757789,347141.971069,,,,,,,,,,,,,5653506.6838599,,,,,,,,,,,
,10/09/2021,1631232000,0,3441432.8769770204,3441432.8769770204,0,,,0,3856.3155942300004,2799068.9237187905,638507.637664,,,,,,,3856.3155942300004,2799068.9237187905,638507.637664,,,,,,,,,,,,,0,,,,,,,,,,,,5696808.6769212345,0.08291547,813.76798842867,638507.637664,,,,,,,0.08291547,813.76798842867,638507.637664,,,,,,,,,,,,,5696808.6769212345,,,,,,,,,,,
,11/09/2021,1631318400,0,4644950.596023697,4644950.596023697,0,,,0,820534.01037907,3011641.789549191,812774.7960954363,,,,,,,820534.01037907,3011641.789549191,812774.7960954363,,,,,,,,,,,,,0,,,,,,,,,,,,5912799.845797745,18.22234583,934.3842133420591,813260.312502,,,,,,,18.22234583,934.3842133420591,813260.312502,,,,,,,,,,,,,5912799.845797745,,,,,,,,,,,
,12/09/2021,1631404800,0,10042988.23869723,10042988.23869723,0,,,0,2180489.859081,7164861.5422252305,697636.837391,,,,,,,2180489.859081,7164861.5422252305,697636.837391,,,,,,,,,,,,,0,,,,,,,,,,,,5759561.137656921,48.17697435,2193.873430263249,697636.837391,,,,,,,48.17697435,2193.873430263249,697636.837391,,,,,,,,,,,,,5759561.137656921,,,,,,,,,,,
,13/09/2021,1631491200,0,12082571.857408673,12082571.857408673,0,,,0,1412159.88552,10638032.024744673,32379.947144,,,,,,,1412159.88552,10638032.024744673,32379.947144,,,,,,,,,,,,,0,,,,,,,,,,,,5668362.098822233,30.4837536,3111.035992555725,32379.947144,,,,,,,30.4837536,3111.035992555725,32379.947144,,,,,,,,,,,,,5668362.098822233,,,,,,,,,,,
,14/09/2021,1631577600,84289071.41903228,13368350.149200909,13368350.149200909,84289071.41903228,,,84289071.41903228,1178119.5356667,12164287.019651886,25943.593882322795,,,,,,,1178119.5356667,12164287.019651886,25943.593882322795,,,,,,,,,,,,,84289071.41903228,,,,,,,,,,,,5719317.10290559,26.05882627,3690.3859340430026,25898.445147,,,,,,,26.05882627,3690.3859340430026,25898.445147,,,,,,,,,,,,,5719317.10290559,,,,,,,,,,,
,15/09/2021,1631664000,121351315.66488385,16694995.391941508,16694995.391941508,121351315.66488385,,,121351315.66488385,1287224.12930592,15362169.08092459,45602.181711,,,,,,,1287224.12930592,15362169.08092459,45602.181711,,,,,,,,,,,,,121351315.66488385,,,,,,,,,,,,5881205.064619641,27.27632076,4493.5399251524095,45602.181711,,,,,,,27.27632076,4493.5399251524095,45602.181711,,,,,,,,,,,,,5881205.064619641,,,,,,,,,,,
,16/09/2021,1631750400,124074320.41210663,17240736.716456182,17240736.716456182,124074320.41210663,,,124074320.41210663,314998.0222612199,16903386.33173396,22352.362461,,,,,,,314998.0222612199,16903386.33173396,22352.362461,,,,,,,,,,,,,124074320.41210663,,,,,,,,,,,,5846685.6437892895,6.52810366,4754.740097701294,22352.362461,,,,,,,6.52810366,4754.740097701294,22352.362461,,,,,,,,,,,,,5846685.6437892895,,,,,,,,,,,
,17/09/2021,1631836800,111143182.11303054,19159542.04993423,19159542.04993423,111143182.11303054,,,111143182.11303054,226194.99249374,18098255.828441456,835091.228999035,,,,,,,226194.99249374,18098255.828441456,835091.228999035,,,,,,,,,,,,,111143182.11303054,,,,,,,,,,,,5870087.878708438,4.72548922,5070.235028283588,833903.849284,,,,,,,4.72548922,5070.235028283588,833903.849284,,,,,,,,,,,,,5870087.878708438,,,,,,,,,,,
,18/09/2021,1631923200,116987764.4737531,20905604.0297403,20905604.0297403,116987764.4737531,,,116987764.4737531,614473.2421508619,18590347.962735217,1700782.8248542214,,,,,,,614473.2421508619,18590347.962735217,1700782.8248542214,,,,,,,,,,,,,116987764.4737531,,,,,,,,,,,,5867355.35178624,12.95756618,5455.802798795917,1693301.037425,,,,,,,12.95756618,5455.802798795917,1693301.037425,,,,,,,,,,,,,5867355.35178624,,,,,,,,,,,
,19/09/2021,1632009600,0,21590548.051536337,21590548.051536337,0,,,0,753099.5014843517,18697974.569796983,2139473.980255,,,,,,,753099.5014843517,18697974.569796983,2139473.980255,,,,,,,,,,,,,0,,,,,,,,,,,,5848708.853747144,15.56641607,5433.624088739836,2139473.980255,,,,,,,15.56641607,5433.624088739836,2139473.980255,,,,,,,,,,,,,5848708.853747144,,,,,,,,,,,
,20/09/2021,1632096000,0,23172127.28602548,23172127.28602548,0,,,0,943157.2097666407,19877308.344325837,2351661.731933,,,,,,,943157.2097666407,19877308.344325837,2351661.731933,,,,,,,,,,,,,0,,,,,,,,,,,,5834728.4263365045,19.89581176,5976.250610882529,2351661.731933,,,,,,,19.89581176,5976.250610882529,2351661.731933,,,,,,,,,,,,,5834728.4263365045,,,,,,,,,,,
,21/09/2021,1632182400,0,19528852.55747948,19528852.55747948,0,,,0,473607.48560986,16937541.769407645,2117608.7831403273,48.988815555834364,20.076089904415085,25.454416186651656,,,,473607.48560986,16937541.769407645,2117608.7831403273,48.988815555834364,20.076089904415085,25.454416186651656,,,,,,,,,,0,,,,,,,,,,,,5761450.579437282,11.37686434,5849.245002696308,2127119.132783,2.3757912490705317,20.027567,1.1198599290211904,,,,11.37686434,5849.245002696308,2127119.132783,2.3757912490705317,20.027567,1.1198599290211904,,,,,,,,,,5761450.579437282,,,,,,,,,,,
,22/09/2021,1632268800,75223446.74994512,19523063.539238796,19523063.539238796,75223446.74994512,,,75223446.74994512,906994.5276525,16849673.971986424,1497438.61428794,76942.546524121,89125.868172,102888.0106158115,,,,906994.5276525,16849673.971986424,1497438.61428794,76942.546524121,89125.868172,102888.0106158115,,,,,,,,,,75223446.74994512,,,,,,,,,,,,5802849.10425469,22.05457818,6110.108197912098,1482612.489394,4060.2926925657525,89125.868172,4717.46953763464,,,,22.05457818,6110.108197912098,1482612.489394,4060.2926925657525,89125.868172,4717.46953763464,,,,,,,,,,5802849.10425469,,,,,,,,,,,
,23/09/2021,1632355200,74765043.25352533,21682104.146569025,21682104.146569025,74765043.25352533,,,74765043.25352533,410481.01838048,20501805.703896057,97858.085436,157808.5308347694,327907.0376266124,186243.7703951043,,,,410481.01838048,20501805.703896057,97858.085436,157808.5308347694,327907.0376266124,186243.7703951043,,,,,,,,,,74765043.25352533,,,,,,,,,,,,5843774.314079597,9.43547762,6700.921934237406,97858.085436,7308.014664727946,327659.537277,7702.389180938971,,,,9.43547762,6700.921934237406,97858.085436,7308.014664727946,327659.537277,7702.389180938971,,,,,,,,,,5843774.314079597,,,,,,,,,,,
,24/09/2021,1632441600,87652528.19279313,28312308.911981065,28312308.911981065,87652528.19279313,,,87652528.19279313,325392.76887188,22361799.028478883,4958102.671241,183448.40432990383,338881.928607,144684.1104523972,,,,325392.76887188,22361799.028478883,4958102.671241,183448.40432990383,338881.928607,144684.1104523972,,,,,,,,,,87652528.19279313,,,,,,,,,,,,5871087.390086713,7.23690076,7109.523969974179,4958102.671241,8520.594720385687,338881.928607,5698.468312422104,,,,7.23690076,7109.523969974179,4958102.671241,8520.594720385687,338881.928607,5698.468312422104,,,,,,,,,,5871087.390086713,,,,,,,,,,,
