,Date,Timestamp,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana,Nirvana
,,,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP,CDP
,,,solana-staking,solana,Total,staking,solana-staking,solana,solana,Total,Total,staking,solana-staking,solana,solana,Total,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana,nirvana-ana,tether,usd-coin,tether,usd-coin,nirvana-ana
,15/06/2022,1655251200,15055822.810306722,0,0,15055822.810306722,15055822.810306722,,,,,15055822.810306722,1728567.486832,,,,,1728567.486832
,16/06/2022,1655337600,15136792.417456359,0,0,15136792.417456359,15136792.417456359,,,,,15136792.417456359,1743870.094177,,,,,1743870.094177
,17/06/2022,1655424000,15638902.22267985,0,0,15638902.22267985,15638902.22267985,,,,,15638902.22267985,1751276.844645,,,,,1751276.844645
,18/06/2022,1655510400,15642349.50524016,0,0,15642349.50524016,15642349.50524016,,,,,15642349.50524016,1753626.626148,,,,,1753626.626148
,19/06/2022,1655596800,15447268.65487089,0,0,15447268.65487089,15447268.65487089,,,,,15447268.65487089,1749407.548683,,,,,1749407.548683
,20/06/2022,1655683200,14904574.0391888,0,0,14904574.0391888,14904574.0391888,,,,,14904574.0391888,1741188.55598,,,,,1741188.55598
,21/06/2022,1655769600,14923732.013686,0,0,14923732.013686,14923732.013686,,,,,14923732.013686,1735317.67601,,,,,1735317.67601
,22/06/2022,1655856000,14911773.10379328,0,0,14911773.10379328,14911773.10379328,,,,,14911773.10379328,1737968.893216,,,,,1737968.893216
,23/06/2022,1655942400,15256399.95995564,0,0,15256399.95995564,15256399.95995564,,,,,15256399.95995564,1737630.974938,,,,,1737630.974938
,24/06/2022,1656028800,14868994.86777154,0,0,14868994.86777154,14868994.86777154,,,,,14868994.86777154,1743141.250618,,,,,1743141.250618
,25/06/2022,1656115200,14660077.740985282,0,0,14660077.740985282,14660077.740985282,,,,,14660077.740985282,1749412.618256,,,,,1749412.618256
,26/06/2022,1656201600,15004932.41008148,4027014.6822821456,4027014.6822821456,15004932.41008148,15004932.41008148,4012360.1419361457,14654.540346,4012360.1419361457,14654.540346,15004932.41008148,1759077.6565160002,4008351.790146,14654.540346,4008351.790146,14654.540346,1759077.6565160002
,27/06/2022,1656288000,15064283.1439269,3993624.7553729643,3993624.7553729643,15064283.1439269,15064283.1439269,3991040.149385,2584.6059879639997,3991040.149385,2584.6059879639997,15064283.1439269,1761904.461278,3991040.149385,2582.023964,3991040.149385,2582.023964,1761904.461278
,28/06/2022,1656374400,15268366.429597199,4001934.1351682525,4001934.1351682525,15268366.429597199,15268366.429597199,4001884.4420047323,49.69316352,4001884.4420047323,49.69316352,15268366.429597199,1775391.445302,3989914.697911,49.64352,3989914.697911,49.64352,1775391.445302
,29/06/2022,1656460800,15254876.259046188,3984727.4805027666,3984727.4805027666,15254876.259046188,15254876.259046188,3984717.177343901,10.303158865999999,3984717.177343901,10.303158865999999,15254876.259046188,1775887.8066409999,3988107.068352,10.292866,3988107.068352,10.292866,1775887.8066409999
,30/06/2022,1656547200,15232784.613200102,3991323.4742060676,3991323.4742060676,15232784.613200102,15232784.613200102,3991240.0069732186,83.46723284899998,3991240.0069732186,83.46723284899998,15232784.613200102,1781612.2354620001,3987252.754219,83.383849,3987252.754219,83.383849,1781612.2354620001
,01/07/2022,1656633600,15015213.48416244,3799993.3841361655,3799993.3841361655,15015213.48416244,15015213.48416244,3799864.0087980465,129.375338119,3799864.0087980465,129.375338119,15015213.48416244,1779053.730351,3836986.856636,128.988373,3836986.856636,128.988373,1779053.730351
,02/07/2022,1656720000,15047347.512488319,3802690.9130289117,3802690.9130289117,15047347.512488319,15047347.512488319,3801296.8789046695,1394.034124242,3801296.8789046695,1394.034124242,15047347.512488319,1787095.904096,3782384.954134,1391.251621,3782384.954134,1391.251621,1787095.904096
,03/07/2022,1656806400,15059618.44891372,3686421.780769727,3686421.780769727,15059618.44891372,15059618.44891372,3686395.4683826263,26.312387100999995,3686395.4683826263,26.312387100999995,15059618.44891372,1788553.259966,3682712.755627,26.286101,3682712.755627,26.286101,1788553.259966
,04/07/2022,1656892800,15101477.813481119,3672634.1892511966,3672634.1892511966,15101477.813481119,15101477.813481119,3672623.3465891965,10.842662,3672623.3465891965,10.842662,15101477.813481119,1793524.6809359998,3668954.392197,10.842662,3668954.392197,10.842662,1793524.6809359998
,05/07/2022,1656979200,15145694.747161001,3619642.148266256,3619642.148266256,15145694.747161001,15145694.747161001,3614059.046222,5583.102044256,3614059.046222,5583.102044256,15145694.747161001,1800914.9521,3614059.046222,5571.958128,3614059.046222,5571.958128,1800914.9521
,06/07/2022,1657065600,15169390.1198532,3612408.221063773,3612408.221063773,15169390.1198532,15169390.1198532,3610805.210274393,1603.0107893799998,3610805.210274393,1603.0107893799998,15169390.1198532,1805879.776173,3612434.418197,1601.40938,3612434.418197,1601.40938,1805879.776173
